date,book,equity,cash,bench,ret_pct,bench_pct
2026-08-06,us,50017.9,46508.32,49962.35,0.036,-0.075
2026-08-06,jp,20000000.0,20000000.0,20426771.02,0.0,2.134
2026-08-07,us,50284.98,39381.56,49882.52,0.57,-0.235
2026-08-07,jp,20000000.0,20000000.0,20572260.84,0.0,2.861
2026-08-08,us,50282.39,39381.56,50187.57,0.565,0.375
2026-08-08,jp,20000000.0,20000000.0,20615907.49,0.0,3.08
2026-08-11,us,50320.01,39401.59,50172.65,0.64,0.345
2026-08-11,jp,19999146.85,17751146.85,20737149.0,-0.004,3.686
2026-08-12,us,50271.94,34066.81,50012.33,0.544,0.025
2026-08-12,jp,19999341.38,17751341.38,20737149.0,-0.003,3.686
2026-08-13,us,50297.9,29137.89,50137.6,0.596,0.275
2026-08-13,jp,20019135.92,17751535.92,20945683.82,0.096,4.728
2026-08-14,us,50650.06,29140.84,50487.43,1.3,0.975
2026-08-14,jp,20032530.46,17751730.46,21115421.94,0.163,5.577
2026-08-15,us,50700.0,29143.8,50387.48,1.4,0.775
2026-08-15,jp,20058725.0,17751925.0,21231813.5,0.294,6.159
2026-08-18,us,50278.7,29152.66,50149.28,0.557,0.299
2026-08-18,jp,19980908.62,17752508.62,21139670.24,-0.095,5.698
2026-08-19,us,50541.4,29155.62,49810.48,1.083,-0.379
2026-08-19,jp,19981103.17,17752703.17,20902037.17,-0.094,4.51
2026-08-20,us,51096.67,29163.76,49914.98,2.193,-0.17
2026-08-20,jp,19842897.72,17752897.72,20242483.03,-0.786,1.212
2026-08-21,us,51126.28,29166.72,49495.7,2.253,-1.009
2026-08-21,jp,19858292.27,17753092.27,20504364.41,-0.709,2.522
2026-08-22,us,51132.38,29116.61,49698.2,2.265,-0.604
2026-08-22,jp,19828475.6,17750075.6,20504364.41,-0.858,2.522
